lesson,link
1,https://youtu.be/xPIpp8y3KDA
2,https://youtu.be/ln7_zBmYPqs
3,https://youtu.be/vRmKDes1MK8
4,https://youtu.be/unLRqQhd3FY
5,https://youtu.be/sQtfnS4_ErM
6,https://youtu.be/crxQOGhNhUk
7,https://youtu.be/_bgxAzhbVJk
8,https://youtu.be/3r6nHGivgaI
9,https://youtu.be/Ks1QW7QJzVg
10,https://youtu.be/ENTQSjAndyY
11,https://youtu.be/PjCCsl9jJYo
12,https://youtu.be/sq_94Cxdrmo
13,https://youtu.be/TrWRyLwMWB4
14,https://youtu.be/V_phSC7USRw
15,https://youtu.be/0HBQE1OBj48
16,https://youtu.be/DhUy9XYzIXQ
17,https://youtu.be/csB14bxFCfM
18,https://youtu.be/EQdNN0Gzes8
19,https://youtu.be/wLCsq345V50
20,https://youtu.be/PXeljIcNHeA
21,https://youtu.be/G_5HHMkuXH4
22,https://youtu.be/5v7zH54mYZw
23,https://youtu.be/aTuUfgC9fWk
24,https://youtu.be/0l9bGEfMkKs
25,
26,
27,
28,
29,
